必填字段个数,公立医疗,非公立医疗机构-非营利性,个体诊所-非营利性,非公立医疗机构-营利性,个体诊所-营利性,单体药店,连锁特许经营,批发企业,生产企业
用户名,"是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无"
手机号,"是否必填：是
填写方式：手机号
填写要求：手机号+未注册唯一","是否必填：是
填写方式：手机号
填写要求：手机号+未注册唯一","是否必填：是
填写方式：手机号
填写要求：手机号+未注册唯一","是否必填：是
填写方式：手机号
填写要求：手机号+未注册唯一","是否必填：是
填写方式：手机号
填写要求：手机号+未注册唯一","是否必填：是
填写方式：手机号
填写要求：手机号+未注册唯一","是否必填：是
填写方式：手机号
填写要求：手机号+未注册唯一","是否必填：是
填写方式：手机号
填写要求：手机号+未注册唯一","是否必填：是
填写方式：手机号
填写要求：手机号+未注册唯一"
密码,"是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无","是否必填：是
填写方式：用户自定义
填写要求：无"
企业名称,"是否必填：是
填写方式：与医疗机构执业许可证/备案凭证名称一致
填写要求：与联网公示系统保持名称一致且未注销","是否必填：是
填写方式：与医疗机构执业许可证/备案凭证名称一致
填写要求：与联网公示系统保持名称一致且未注销","是否必填：是
填写方式：与医疗机构执业许可证/备案凭证名称一致
填写要求：与联网公示系统保持名称一致且未注销","是否必填：是
填写方式：与营业执照完全一致
填写要求：与联网公示系统保持名称一致且未注销","是否必填：是
填写方式：与营业执照完全一致
填写要求：与联网公示系统保持名称一致且未注销","是否必填：是
填写方式：与营业执照完全一致
填写要求：与联网公示系统保持名称一致且未注销","是否必填：是
填写方式：与营业执照完全一致
填写要求：与联网公示系统保持名称一致且未注销","是否必填：是
填写方式：与营业执照完全一致
填写要求：与联网公示系统保持名称一致且未注销","是否必填：是
填写方式：与营业执照完全一致
填写要求：与联网公示系统保持名称一致且未注销"
企业类型,"是否必填：是
填写方式：下拉选择（提交后不可更改）
填写要求：从医疗机构执业许可证经营性质「政府办」推导","是否必填：是
填写方式：下拉选择（提交后不可更改）
填写要求：用户选择，需配合名称及经营方式综合判断","是否必填：是
填写方式：下拉选择（提交后不可更改）
填写要求：用户选择，需配合名称及经营方式综合判断","是否必填：是
填写方式：下拉选择（提交后不可更改）
填写要求：用户选择，需配合名称及经营方式综合判断","是否必填：是
填写方式：下拉选择（提交后不可更改）
填写要求：用户选择，需配合名称及经营方式综合判断","是否必填：是
填写方式：下拉选择（提交后不可更改）
填写要求：可从药品经营许可证编号首字母D推导","是否必填：是
填写方式：下拉选择（提交后不可更改）
填写要求：可从药品经营许可证编号首字母C推导","是否必填：是
填写方式：下拉选择（提交后不可更改）
填写要求：可从药品经营许可证编号首字母A推导","是否必填：是
填写方式：下拉选择（提交后不可更改）
填写要求：用户选择，需配合名称及经营方式综合判断"
法定代表人,"是否必填：选填
填写方式：与医疗机构执业许可证/备案凭证一致
填写要求：需与公示系统一致，变更则退回","是否必填：选填
填写方式：与医疗机构执业许可证/备案凭证一致
填写要求：需与公示系统一致，变更则退回","是否必填：选填
填写方式：与医疗机构执业许可证/备案凭证一致
填写要求：需与公示系统一致，变更则退回","是否必填：选填
填写方式：与营业执照一致
填写要求：需与公示系统一致，变更则退回","是否必填：选填
填写方式：与营业执照一致
填写要求：需与公示系统一致，变更则退回","是否必填：选填
填写方式：与营业执照一致
填写要求：需与公示系统一致，变更则退回","是否必填：选填
填写方式：与营业执照一致
填写要求：需与公示系统一致，变更则退回","是否必填：选填
填写方式：与营业执照一致
填写要求：需与公示系统一致，变更则退回","是否必填：选填
填写方式：与营业执照一致
填写要求：需与公示系统一致，变更则退回"
注册地区,"是否必填：是
填写方式：三级下拉选择，从医疗机构执业许可证/备案凭证提取
填写要求：证照上没有的行政区划选「其他」","是否必填：是
填写方式：三级下拉选择，从医疗机构执业许可证/备案凭证提取
填写要求：证照上没有的行政区划选「其他」","是否必填：是
填写方式：三级下拉选择，从医疗机构执业许可证/备案凭证提取
填写要求：证照上没有的行政区划选「其他」","是否必填：是
填写方式：三级下拉选择，从营业执照提取
填写要求：证照上没有的行政区划选「其他」","是否必填：是
填写方式：三级下拉选择，从营业执照提取
填写要求：证照上没有的行政区划选「其他」","是否必填：是
填写方式：三级下拉选择，从药品经营许可证提取
填写要求：证照上没有的行政区划选「其他」","是否必填：是
填写方式：三级下拉选择，从药品经营许可证提取
填写要求：证照上没有的行政区划选「其他」","是否必填：是
填写方式：三级下拉选择，从药品经营许可证提取
填写要求：证照上没有的行政区划选「其他」","是否必填：是
填写方式：三级下拉选择，从营业执照提取
填写要求：证照上没有的行政区划选「其他」"
注册详细地址,"是否必填：是
填写方式：从医疗机构执业许可证/备案凭证地址提取
填写要求：与证照地址一致，需与公示系统一致，变更则退回","是否必填：是
填写方式：从医疗机构执业许可证/备案凭证地址提取
填写要求：与证照地址一致，需与公示系统一致，变更则退回","是否必填：是
填写方式：从医疗机构执业许可证/备案凭证地址提取
填写要求：与证照地址一致，需与公示系统一致，变更则退回","是否必填：是
填写方式：从营业执照地址提取
填写要求：与证照地址一致，需与公示系统一致，变更则退回","是否必填：是
填写方式：从营业执照地址提取
填写要求：与证照地址一致，需与公示系统一致，变更则退回","是否必填：是
填写方式：从药品经营许可证地址提取
填写要求：与证照地址一致，需与公示系统一致，变更则退回","是否必填：是
填写方式：从药品经营许可证地址提取
填写要求：与证照地址一致，需与公示系统一致，变更则退回","是否必填：是
填写方式：从药品经营许可证地址提取
填写要求：与证照地址一致，需与公示系统一致，变更则退回","是否必填：是
填写方式：从营业执照地址提取
填写要求：与证照地址一致，需与公示系统一致，变更则退回"
销售单打印地址,"是否必填：是
填写方式：与医疗机构执业许可证/备案凭证地址一致
填写要求：随货同行单地址，不可多字少字","是否必填：是
填写方式：与医疗机构执业许可证/备案凭证地址一致
填写要求：随货同行单地址，不可多字少字","是否必填：是
填写方式：与医疗机构执业许可证/备案凭证地址一致
填写要求：随货同行单地址，不可多字少字","是否必填：是
填写方式：与营业执照地址一致
填写要求：随货同行单地址，不可多字少字","是否必填：是
填写方式：与营业执照地址一致
填写要求：随货同行单地址，不可多字少字","是否必填：是
填写方式：与药品经营许可证地址完全一致
填写要求：随货同行单地址，不可多字少字","是否必填：是
填写方式：与药品经营许可证地址完全一致
填写要求：随货同行单地址，不可多字少字","是否必填：是
填写方式：与药品经营许可证仓库地址（或委托配送地址）完全一致
填写要求：随货同行单地址，不可多字少字；多仓库填一个即可","是否必填：是
填写方式：与营业执照地址一致
填写要求：随货同行单地址，不可多字少字"
经营范围,"是否必填：是
填写方式：按医疗机构执业许可证诊疗科目勾选
填写要求：含中医科/全科/中西医结合科→可勾中药；不含→不可勾中药材/中药饮片；化妆品、消毒品、普通商品、一类器械全勾","是否必填：是
填写方式：按医疗机构执业许可证诊疗科目勾选
填写要求：含中医科/全科/中西医结合科→可勾中药；不含→不可勾中药材/中药饮片；化妆品、消毒品、普通商品、一类器械全勾","是否必填：是
填写方式：按医疗机构执业许可证诊疗科目勾选
填写要求：中医诊所备案→中药饮片+中成药+中药材+一二类器械+食品+化妆品+消毒品+普通商品（不可选西药和注射剂）；化妆品、消毒品、普通商品、一类器械全勾","是否必填：是
填写方式：按医疗机构执业许可证诊疗科目勾选
填写要求：含中医科/全科/中西医结合科→可勾中药；不含→不可勾中药材/中药饮片；化妆品、消毒品、普通商品、一类器械全勾","是否必填：是
填写方式：按医疗机构执业许可证诊疗科目勾选
填写要求：含中医科/全科/中西医结合科→可勾中药；不含→不可勾中药材/中药饮片；化妆品、消毒品、普通商品、一类器械全勾","是否必填：是
填写方式：按药品经营许可证经营范围勾选
填写要求：含化学药→化学药制剂+生化药品+抗生素制剂；含中药饮片→配方+精制；未限口服→可勾注射剂；化妆品、消毒品、普通商品、一类器械全勾","是否必填：是
填写方式：按药品经营许可证经营范围勾选
填写要求：含化学药→化学药制剂+生化药品+抗生素制剂；含中药饮片→配方+精制；未限口服→可勾注射剂；化妆品、消毒品、普通商品、一类器械全勾","是否必填：是
填写方式：按药品经营许可证经营范围勾选
填写要求：含化学药→化学药制剂+生化药品+抗生素制剂；含中药饮片→配方+精制；未限口服→可勾注射剂；化妆品、消毒品、普通商品、一类器械全勾","是否必填：是
填写方式：按营业执照经营范围勾选
填写要求：化妆品、消毒品、普通商品、一类器械全勾；其余执照上有才勾"
可经营安全性类别,"是否必填：是
填写方式：勾选
填写要求：按经营范围推导，可选Rx、OTC甲、OTC乙","是否必填：是
填写方式：勾选
填写要求：按经营范围推导，可选Rx、OTC甲、OTC乙","是否必填：是
填写方式：勾选
填写要求：按经营范围推导，可选Rx、OTC甲、OTC乙","是否必填：是
填写方式：勾选
填写要求：按经营范围推导，可选Rx、OTC甲、OTC乙","是否必填：是
填写方式：勾选
填写要求：按经营范围推导，可选Rx、OTC甲、OTC乙","是否必填：是
填写方式：勾选
填写要求：从药品经营许可证/经营范围推导，可选Rx、OTC甲、OTC乙","是否必填：是
填写方式：勾选
填写要求：从药品经营许可证/经营范围推导，可选Rx、OTC甲、OTC乙","是否必填：是
填写方式：勾选
填写要求：从药品经营许可证/经营范围推导，可选Rx、OTC甲、OTC乙","是否必填：是
填写方式：勾选
填写要求：按经营范围推导，可选Rx、OTC甲、OTC乙"
